Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
Canada,Congo,2005,47,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2005,482,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,2005,260,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2005,90,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Palestinian Territories,2005,1,"(35.233154, 31.952162)","(-106.346771, 56.130366)"
Canada,Moldova,2005,1,"(28.369885, 47.411631)","(-106.346771, 56.130366)"
Canada,Russia,2005,95,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,2005,44,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Stateless,2005,35,,"(-106.346771, 56.130366)"
Canada,Syria,2005,6,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,United Kingdom,2005,2,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,2005,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,2005,1,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,2005,1,,"(-106.346771, 56.130366)"
Canada,Venezuela,2005,8,"(-66.58973, 6.42375)","(-106.346771, 56.130366)"
Canada,Vietnam,2005,57,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo,2005,4,,"(9.501785, 56.26392)"
Denmark,Congo [DRC],2005,75,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,2005,116,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],2005,133,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Finland,Iran,2005,115,"(53.688046, 32.427908)","(25.748151, 61.92411)"
Finland,Myanmar [Burma],2005,72,"(95.956223, 21.913965)","(25.748151, 61.92411)"
Finland,Various/unknown,2005,106,,"(25.748151, 61.92411)"
Finland,Vietnam,2005,70,"(108.277199, 14.058324)","(25.748151, 61.92411)"
Iceland,Serbia,2005,7,"(21.005859, 44.016521)","(-19.020835, 64.963051)"
Ireland,Congo [DRC],2005,7,"(21.758664, -4.038333)","(-8.24389, 53.41291)"
Ireland,Iran,2005,46,"(53.688046, 32.427908)","(-8.24389, 53.41291)"
Ireland,Russia,2005,42,"(105.318756, 61.52401)","(-8.24389, 53.41291)"
Mexico,Congo [DRC],2005,19,"(21.758664, -4.038333)","(-102.552784, 23.634501)"
Netherlands,Central African Rep.,2005,1,,"(5.291266, 52.132633)"
Netherlands,Congo [DRC],2005,17,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,2005,13,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Myanmar [Burma],2005,1,"(95.956223, 21.913965)","(5.291266, 52.132633)"
Netherlands,Russia,2005,1,"(105.318756, 61.52401)","(5.291266, 52.132633)"
Netherlands,Stateless,2005,9,,"(5.291266, 52.132633)"
New Zealand,Congo [DRC],2005,9,"(21.758664, -4.038333)","(174.885971, -40.900557)"
New Zealand,Iran,2005,122,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],2005,2,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Palestinian Territories,2005,23,"(35.233154, 31.952162)","(174.885971, -40.900557)"
New Zealand,Russia,2005,2,"(105.318756, 61.52401)","(174.885971, -40.900557)"
Norway,Congo,2005,18,,"(8.468946, 60.472024)"
Norway,Congo [DRC],2005,259,"(21.758664, -4.038333)","(8.468946, 60.472024)"
Norway,Iran,2005,4,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Myanmar [Burma],2005,274,"(95.956223, 21.913965)","(8.468946, 60.472024)"
Norway,Russia,2005,8,"(105.318756, 61.52401)","(8.468946, 60.472024)"
Sweden,Central African Rep.,2005,10,,"(18.643501, 60.128161)"
Sweden,Congo,2005,9,,"(18.643501, 60.128161)"
Sweden,Congo [DRC],2005,16,"(21.758664, -4.038333)","(18.643501, 60.128161)"
Sweden,Iran,2005,9,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],2005,408,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Russia,2005,7,"(105.318756, 61.52401)","(18.643501, 60.128161)"
Sweden,Stateless,2005,2,,"(18.643501, 60.128161)"
Sweden,Syria,2005,6,"(38.996815, 34.802075)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,2005,175,,"(-3.435973, 55.378051)"
United States,Afghanistan,2005,902,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Algeria,2005,1,"(1.659626, 28.033886)","(-95.712891, 37.09024)"
United States,Angola,2005,21,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Armenia,2005,86,"(45.038189, 40.069099)","(-95.712891, 37.09024)"
United States,Azerbaijan,2005,299,"(47.576927, 40.143105)","(-95.712891, 37.09024)"
United States,Belarus,2005,445,"(27.953389, 53.709807)","(-95.712891, 37.09024)"
United States,Bosnia and Herzegovina,2005,61,"(17.679076, 43.915886)","(-95.712891, 37.09024)"
United States,Burundi,2005,214,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Côte d'Ivoire,2005,5,"(-5.54708, 7.539989)","(-95.712891, 37.09024)"
United States,Cambodia,2005,9,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cameroon,2005,6,"(12.354722, 7.369722)","(-95.712891, 37.09024)"
United States,China,2005,13,"(104.195397, 35.86166)","(-95.712891, 37.09024)"
United States,Colombia,2005,323,"(-74.297333, 4.570868)","(-95.712891, 37.09024)"
United States,Congo,2005,43,,"(-95.712891, 37.09024)"
United States,Croatia,2005,39,"(15.2, 45.1)","(-95.712891, 37.09024)"
United States,Cuba,2005,6361,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Congo [DRC],2005,424,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ecuador,2005,8,"(-78.183406, -1.831239)","(-95.712891, 37.09024)"
United States,Equatorial Guinea,2005,25,"(10.267895, 1.650801)","(-95.712891, 37.09024)"
United States,Eritrea,2005,329,"(39.782334, 15.179384)","(-95.712891, 37.09024)"
United States,Estonia,2005,17,"(25.013607, 58.595272)","(-95.712891, 37.09024)"
United States,Ethiopia,2005,1665,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Georgia,2005,11,"(43.356892, 42.315407)","(-95.712891, 37.09024)"
United States,Germany,2005,1,"(10.451526, 51.165691)","(-95.712891, 37.09024)"
United States,Ghana,2005,1,"(-1.023194, 7.946527)","(-95.712891, 37.09024)"
United States,Haiti,2005,8,"(-72.285215, 18.971187)","(-95.712891, 37.09024)"
United States,India,2005,1,"(78.96288, 20.593684)","(-95.712891, 37.09024)"
United States,Indonesia,2005,6,"(113.921327, -0.789275)","(-95.712891, 37.09024)"
United States,Iran,2005,1856,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,2005,198,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Israel,2005,2,"(34.851612, 31.046051)","(-95.712891, 37.09024)"
United States,Kazakhstan,2005,80,"(66.923684, 48.019573)","(-95.712891, 37.09024)"
United States,Kenya,2005,1,"(37.906193, -0.023559)","(-95.712891, 37.09024)"
United States,Kyrgyzstan,2005,38,"(74.766098, 41.20438)","(-95.712891, 37.09024)"
United States,Laos,2005,8517,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Latvia,2005,25,"(24.603189, 56.879635)","(-95.712891, 37.09024)"
United States,Liberia,2005,4289,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Lithuania,2005,9,"(23.881275, 55.169438)","(-95.712891, 37.09024)"
United States,Madagascar,2005,1,"(46.869107, -18.766947)","(-95.712891, 37.09024)"
United States,Mauritania,2005,3,"(-10.940835, 21.00789)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],2005,1447,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Namibia,2005,4,"(18.49041, -22.95764)","(-95.712891, 37.09024)"
United States,Nigeria,2005,11,"(8.675277, 9.081999)","(-95.712891, 37.09024)"
United States,Pakistan,2005,9,"(69.345116, 30.375321)","(-95.712891, 37.09024)"
United States,Moldova,2005,1016,"(28.369885, 47.411631)","(-95.712891, 37.09024)"
United States,Russia,2005,5982,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,2005,183,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Senegal,2005,1,"(-14.452362, 14.497401)","(-95.712891, 37.09024)"
United States,Serbia,2005,40,"(21.005859, 44.016521)","(-95.712891, 37.09024)"
United States,Sierra Leone,2005,829,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,2005,10405,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sudan,2005,2205,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,2005,7,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Tajikistan,2005,6,"(71.276093, 38.861034)","(-95.712891, 37.09024)"
United States,Togo,2005,72,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Turkmenistan,2005,1,"(59.556278, 38.969719)","(-95.712891, 37.09024)"
United States,Uganda,2005,10,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Ukraine,2005,2889,"(31.16558, 48.379433)","(-95.712891, 37.09024)"
United States,Uzbekistan,2005,271,"(64.585262, 41.377491)","(-95.712891, 37.09024)"
United States,Vietnam,2005,2079,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
United States,Yemen,2005,1,"(48.516388, 15.552727)","(-95.712891, 37.09024)"
United States,Zimbabwe,2005,2,"(29.154857, -19.015438)","(-95.712891, 37.09024)"
Australia,Congo,2006,100,,"(133.775136, -25.274398)"
Australia,Congo [DRC],2006,534,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,2006,186,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,2006,6,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],2006,1754,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Russia,2006,8,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,2006,38,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Syria,2006,17,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Tibetan,2006,15,,"(133.775136, -25.274398)"
Australia,United Kingdom,2006,5,"(-3.435973, 55.378051)","(133.775136, -25.274398)"
Australia,Tanzania,2006,25,"(34.888822, -6.369028)","(133.775136, -25.274398)"
Canada,Central African Rep.,2006,6,,"(-106.346771, 56.130366)"
Canada,Congo,2006,32,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2006,561,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,2006,407,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2006,806,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Palestinian Territories,2006,7,"(35.233154, 31.952162)","(-106.346771, 56.130366)"
Canada,Russia,2006,129,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,2006,61,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Stateless,2006,71,,"(-106.346771, 56.130366)"
Canada,Syria,2006,21,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Tanzania,2006,9,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,2006,1,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Venezuela,2006,2,"(-66.58973, 6.42375)","(-106.346771, 56.130366)"
Canada,Vietnam,2006,44,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],2006,231,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,2006,33,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],2006,162,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Russia,2006,1,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Finland,Congo [DRC],2006,44,"(21.758664, -4.038333)","(25.748151, 61.92411)"
Finland,Iran,2006,119,"(53.688046, 32.427908)","(25.748151, 61.92411)"
Finland,Myanmar [Burma],2006,206,"(95.956223, 21.913965)","(25.748151, 61.92411)"
Finland,Various/unknown,2006,23,,"(25.748151, 61.92411)"
Ireland,Congo [DRC],2006,11,"(21.758664, -4.038333)","(-8.24389, 53.41291)"
Ireland,Iran,2006,180,"(53.688046, 32.427908)","(-8.24389, 53.41291)"
Netherlands,Central African Rep.,2006,1,,"(5.291266, 52.132633)"
Netherlands,Congo [DRC],2006,49,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,2006,8,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Myanmar [Burma],2006,170,"(95.956223, 21.913965)","(5.291266, 52.132633)"
Netherlands,Russia,2006,7,"(105.318756, 61.52401)","(5.291266, 52.132633)"
Netherlands,Syria,2006,3,"(38.996815, 34.802075)","(5.291266, 52.132633)"
New Zealand,Congo,2006,96,,"(174.885971, -40.900557)"
New Zealand,Congo [DRC],2006,7,"(21.758664, -4.038333)","(174.885971, -40.900557)"
New Zealand,Iran,2006,42,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Laos,2006,2,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],2006,424,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Palestinian Territories,2006,2,"(35.233154, 31.952162)","(174.885971, -40.900557)"
New Zealand,Vietnam,2006,7,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Congo [DRC],2006,203,"(21.758664, -4.038333)","(8.468946, 60.472024)"
Norway,Iran,2006,7,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Myanmar [Burma],2006,484,"(95.956223, 21.913965)","(8.468946, 60.472024)"
Norway,Russia,2006,14,"(105.318756, 61.52401)","(8.468946, 60.472024)"
Norway,Stateless,2006,1,,"(8.468946, 60.472024)"
Norway,Syria,2006,1,"(38.996815, 34.802075)","(8.468946, 60.472024)"
Norway,Vietnam,2006,47,"(108.277199, 14.058324)","(8.468946, 60.472024)"
Sweden,Central African Rep.,2006,11,,"(18.643501, 60.128161)"
Sweden,Congo,2006,137,,"(18.643501, 60.128161)"
Sweden,Congo [DRC],2006,5,"(21.758664, -4.038333)","(18.643501, 60.128161)"
Sweden,Iran,2006,178,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],2006,292,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Russia,2006,76,"(105.318756, 61.52401)","(18.643501, 60.128161)"
Sweden,Stateless,2006,4,,"(18.643501, 60.128161)"
Sweden,Syria,2006,1,"(38.996815, 34.802075)","(18.643501, 60.128161)"
Sweden,Vietnam,2006,10,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Afghanistan,2006,1,"(67.709953, 33.93911)","(-3.435973, 55.378051)"
United Kingdom,Burundi,2006,4,"(29.918886, -3.373056)","(-3.435973, 55.378051)"
United Kingdom,Congo [DRC],2006,134,"(21.758664, -4.038333)","(-3.435973, 55.378051)"
United Kingdom,Eritrea,2006,1,"(39.782334, 15.179384)","(-3.435973, 55.378051)"
United Kingdom,Ethiopia,2006,79,"(40.489673, 9.145)","(-3.435973, 55.378051)"
United Kingdom,Iran,2006,3,"(53.688046, 32.427908)","(-3.435973, 55.378051)"
United Kingdom,Iraq,2006,4,"(43.679291, 33.223191)","(-3.435973, 55.378051)"
United Kingdom,Liberia,2006,1,"(-9.429499, 6.428055)","(-3.435973, 55.378051)"
United Kingdom,Myanmar [Burma],2006,81,"(95.956223, 21.913965)","(-3.435973, 55.378051)"
United Kingdom,Somalia,2006,7,"(46.199616, 5.152149)","(-3.435973, 55.378051)"
United Kingdom,Sudan,2006,63,"(30.217636, 12.862807)","(-3.435973, 55.378051)"
United States,Afghanistan,2006,658,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,2006,1,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Algeria,2006,1,"(1.659626, 28.033886)","(-95.712891, 37.09024)"
United States,Angola,2006,13,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Armenia,2006,87,"(45.038189, 40.069099)","(-95.712891, 37.09024)"
United States,Azerbaijan,2006,77,"(47.576927, 40.143105)","(-95.712891, 37.09024)"
United States,Bangladesh,2006,2,"(90.356331, 23.684994)","(-95.712891, 37.09024)"
United States,Belarus,2006,350,"(27.953389, 53.709807)","(-95.712891, 37.09024)"
United States,Bhutan,2006,3,"(90.433601, 27.514162)","(-95.712891, 37.09024)"
United States,Bosnia and Herzegovina,2006,16,"(17.679076, 43.915886)","(-95.712891, 37.09024)"
United States,Burundi,2006,466,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Côte d'Ivoire,2006,23,"(-5.54708, 7.539989)","(-95.712891, 37.09024)"
United States,Cambodia,2006,9,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cameroon,2006,29,"(12.354722, 7.369722)","(-95.712891, 37.09024)"
United States,Central African Rep.,2006,23,,"(-95.712891, 37.09024)"
United States,Chad,2006,4,"(18.732207, 15.454166)","(-95.712891, 37.09024)"
United States,China,2006,21,"(104.195397, 35.86166)","(-95.712891, 37.09024)"
United States,Colombia,2006,115,"(-74.297333, 4.570868)","(-95.712891, 37.09024)"
United States,Congo,2006,66,,"(-95.712891, 37.09024)"
United States,Costa Rica,2006,2,"(-83.753428, 9.748917)","(-95.712891, 37.09024)"
United States,Croatia,2006,1,"(15.2, 45.1)","(-95.712891, 37.09024)"
United States,Cuba,2006,3135,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,North Korea,2006,9,"(127.510093, 40.339852)","(-95.712891, 37.09024)"
United States,Congo [DRC],2006,405,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Egypt,2006,2,"(30.802498, 26.820553)","(-95.712891, 37.09024)"
United States,Equatorial Guinea,2006,11,"(10.267895, 1.650801)","(-95.712891, 37.09024)"
United States,Eritrea,2006,539,"(39.782334, 15.179384)","(-95.712891, 37.09024)"
United States,Estonia,2006,7,"(25.013607, 58.595272)","(-95.712891, 37.09024)"
United States,Ethiopia,2006,1271,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Gambia,2006,6,"(-15.310139, 13.443182)","(-95.712891, 37.09024)"
United States,Georgia,2006,4,"(43.356892, 42.315407)","(-95.712891, 37.09024)"
United States,Ghana,2006,7,"(-1.023194, 7.946527)","(-95.712891, 37.09024)"
United States,Indonesia,2006,10,"(113.921327, -0.789275)","(-95.712891, 37.09024)"
United States,Iran,2006,2792,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,2006,202,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Kazakhstan,2006,124,"(66.923684, 48.019573)","(-95.712891, 37.09024)"
United States,Kenya,2006,5,"(37.906193, -0.023559)","(-95.712891, 37.09024)"
United States,Kyrgyzstan,2006,15,"(74.766098, 41.20438)","(-95.712891, 37.09024)"
United States,Laos,2006,830,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Latvia,2006,21,"(24.603189, 56.879635)","(-95.712891, 37.09024)"
United States,Liberia,2006,2402,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Mauritania,2006,88,"(-10.940835, 21.00789)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],2006,1612,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nepal,2006,1,"(84.124008, 28.394857)","(-95.712891, 37.09024)"
United States,Niger,2006,1,"(8.081666, 17.607789)","(-95.712891, 37.09024)"
United States,Nigeria,2006,15,"(8.675277, 9.081999)","(-95.712891, 37.09024)"
United States,Pakistan,2006,20,"(69.345116, 30.375321)","(-95.712891, 37.09024)"
United States,Moldova,2006,720,"(28.369885, 47.411631)","(-95.712891, 37.09024)"
United States,Russia,2006,6003,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,2006,112,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Senegal,2006,2,"(-14.452362, 14.497401)","(-95.712891, 37.09024)"
United States,Sierra Leone,2006,439,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,2006,10356,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sri Lanka,2006,6,"(80.771797, 7.873054)","(-95.712891, 37.09024)"
United States,Sudan,2006,1848,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,2006,27,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Tajikistan,2006,4,"(71.276093, 38.861034)","(-95.712891, 37.09024)"
United States,Macedonia [FYROM],2006,1,"(21.745275, 41.608635)","(-95.712891, 37.09024)"
United States,Togo,2006,18,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Turkmenistan,2006,3,"(59.556278, 38.969719)","(-95.712891, 37.09024)"
United States,Uganda,2006,20,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Ukraine,2006,2483,"(31.16558, 48.379433)","(-95.712891, 37.09024)"
United States,Uzbekistan,2006,527,"(64.585262, 41.377491)","(-95.712891, 37.09024)"
United States,Various/unknown,2006,11,,"(-95.712891, 37.09024)"
United States,Venezuela,2006,4,"(-66.58973, 6.42375)","(-95.712891, 37.09024)"
United States,Vietnam,2006,3168,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
United States,Yemen,2006,11,"(48.516388, 15.552727)","(-95.712891, 37.09024)"
United States,Zimbabwe,2006,13,"(29.154857, -19.015438)","(-95.712891, 37.09024)"
Australia,Central African Rep.,2007,13,,"(133.775136, -25.274398)"
Australia,Congo,2007,29,,"(133.775136, -25.274398)"
Australia,Congo [DRC],2007,648,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,2007,279,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,2007,132,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],2007,2372,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Palestinian Territories,2007,12,"(35.233154, 31.952162)","(133.775136, -25.274398)"
Australia,Russia,2007,1,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,2007,41,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Tanzania,2007,26,"(34.888822, -6.369028)","(133.775136, -25.274398)"
Brazil,Palestinian Territories,2007,109,"(35.233154, 31.952162)","(-51.92528, -14.235004)"
Canada,Central African Rep.,2007,6,,"(-106.346771, 56.130366)"
Canada,Congo,2007,30,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2007,626,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,2007,326,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2007,1786,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Russia,2007,71,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,2007,128,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,2007,11,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Various/unknown,2007,134,,"(-106.346771, 56.130366)"
Canada,Vietnam,2007,72,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],2007,184,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,2007,6,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],2007,158,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Russia,2007,4,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Finland,Congo,2007,21,,"(25.748151, 61.92411)"
Finland,Congo [DRC],2007,57,"(21.758664, -4.038333)","(25.748151, 61.92411)"
Finland,Iran,2007,46,"(53.688046, 32.427908)","(25.748151, 61.92411)"
Finland,Myanmar [Burma],2007,341,"(95.956223, 21.913965)","(25.748151, 61.92411)"
Finland,Russia,2007,9,"(105.318756, 61.52401)","(25.748151, 61.92411)"
Finland,Stateless,2007,6,,"(25.748151, 61.92411)"
Finland,Vietnam,2007,1,"(108.277199, 14.058324)","(25.748151, 61.92411)"
Ireland,Congo [DRC],2007,7,"(21.758664, -4.038333)","(-8.24389, 53.41291)"
Ireland,Myanmar [Burma],2007,97,"(95.956223, 21.913965)","(-8.24389, 53.41291)"
Netherlands,Congo [DRC],2007,70,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,2007,10,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Myanmar [Burma],2007,76,"(95.956223, 21.913965)","(5.291266, 52.132633)"
Netherlands,Palestinian Territories,2007,41,"(35.233154, 31.952162)","(5.291266, 52.132633)"
Netherlands,Russia,2007,8,"(105.318756, 61.52401)","(5.291266, 52.132633)"
New Zealand,Congo,2007,3,,"(174.885971, -40.900557)"
New Zealand,Congo [DRC],2007,27,"(21.758664, -4.038333)","(174.885971, -40.900557)"
New Zealand,Iran,2007,1,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],2007,328,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Palestinian Territories,2007,6,"(35.233154, 31.952162)","(174.885971, -40.900557)"
Norway,Congo [DRC],2007,317,"(21.758664, -4.038333)","(8.468946, 60.472024)"
Norway,Iran,2007,8,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Myanmar [Burma],2007,551,"(95.956223, 21.913965)","(8.468946, 60.472024)"
Norway,Stateless,2007,13,,"(8.468946, 60.472024)"
Norway,Syria,2007,1,"(38.996815, 34.802075)","(8.468946, 60.472024)"
Norway,Vietnam,2007,5,"(108.277199, 14.058324)","(8.468946, 60.472024)"
Sweden,Congo [DRC],2007,43,"(21.758664, -4.038333)","(18.643501, 60.128161)"
Sweden,Iran,2007,73,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],2007,357,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Russia,2007,60,"(105.318756, 61.52401)","(18.643501, 60.128161)"
Sweden,Serbia,2007,6,"(21.005859, 44.016521)","(18.643501, 60.128161)"
Sweden,Stateless,2007,6,,"(18.643501, 60.128161)"
Sweden,Syria,2007,1,"(38.996815, 34.802075)","(18.643501, 60.128161)"
Sweden,Various/unknown,2007,12,,"(18.643501, 60.128161)"
United Kingdom,Afghanistan,2007,2,"(67.709953, 33.93911)","(-3.435973, 55.378051)"
United Kingdom,Angola,2007,1,"(17.873887, -11.202692)","(-3.435973, 55.378051)"
United Kingdom,Congo,2007,212,,"(-3.435973, 55.378051)"
United Kingdom,Eritrea,2007,1,"(39.782334, 15.179384)","(-3.435973, 55.378051)"
United Kingdom,Ethiopia,2007,90,"(40.489673, 9.145)","(-3.435973, 55.378051)"
United Kingdom,Iraq,2007,25,"(43.679291, 33.223191)","(-3.435973, 55.378051)"
United Kingdom,Mauritania,2007,53,"(-10.940835, 21.00789)","(-3.435973, 55.378051)"
United Kingdom,Myanmar [Burma],2007,126,"(95.956223, 21.913965)","(-3.435973, 55.378051)"
United Kingdom,Somalia,2007,4,"(46.199616, 5.152149)","(-3.435973, 55.378051)"
United Kingdom,Sudan,2007,1,"(30.217636, 12.862807)","(-3.435973, 55.378051)"
United States,Afghanistan,2007,441,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
